MNG	200	244	37200
MNP	200	0	1304
MNE	200	0	1304
MOZ	200	0	1304
MRT	200	0	1304
MUS	200	244	37200
MSR	200	0	1304
MTQ	200	0	1304
MYT	200	0	1304
MWI	200	0	1304
MYS	200	244	37200
NAM	200	243	37051
NER	200	0	1304
NCL	200	0	1304
NFK	200	0	1304
NIC	200	0	1304
NIU	200	0	1304
NRU	200	0	1304
NGA	200	0	1304
NPL	200	0	1304
NLD	200	237	36171
NOR	200	140	21906
OMN	200	0	1304
PER	200	0	1304
PAN	200	104	16614
NZL	200	34	6326
PAK	200	12	3088
PCN	200	0	1304
PHL	200	77	12647
PNG	200	0	1304
PLW	200	3	1765
POL	200	244	37200
PRI	200	0	1304
PRK	200	0	1304
PRY	200	0	1304
PYF	200	0	1304
ROU	200	98	15734
QAT	200	0	1304
PRT	200	244	37200
REU	200	0	1304
RUS	200	0	1304
SDN	200	0	1304
RWA	200	0	1304
SCG	200	0	1304
SEN	200	0	1304
SAU	200	244	37200
SGS	200	0	1304
SHN	200	0	1304
SGP	200	154	23966
SLE	200	0	1304
SLB	200	0	1304
SLV	200	244	37200
SJM	200	0	1304
SMR	200	0	1304
SOM	200	0	1304
SPM	200	0	1304
SRB	200	0	1304
SSD	200	0	1304
STP	200	0	1304
SUR	200	0	1304
SWE	200	243	37051
SVN	200	244	37200
SUN	200	0	1304
SWZ	200	0	1304
SXM	200	0	1304
TCA	200	0	1304
SVK	200	244	37200
SYC	200	0	1304
TCD	200	0	1304
SYR	200	0	1304
TGO	200	0	1304
TKL	200	0	1304
TJK	200	0	1304
THA	200	113	17939
TKM	200	0	1304
TLS	200	0	1304
TON	200	0	1304
TUN	200	0	1304
TUV	200	0	1304
TTO	200	0	1304
TUR	200	244	37200
TWN	200	0	1304
TZA	200	0	1304
UKR	200	22	4560
UMI	200	0	1304
URY	200	243	37053
VAT	200	0	1304
UZB	200	0	1304
UGA	200	0	1304
VDR	200	0	1304
USA	200	126	19850
VGB	200	0	1304
VEN	200	0	1304
VIR	200	0	1304
VNM	200	0	1304
VCT	200	0	1304
WBG	200	0	1304
VUT	200	0	1304
YEM	200	0	1304
WSM	200	0	1304
WLF	200	0	1304
YMD	200	0	1304
ZMB	200	0	1304
YAR	200	0	1304
ZWE	200	0	1304
YUG	200	0	1304
ZAF	200	106	16908
