"Table A1.  Value of foreign holdings of U.S. securities, by country and type of security, as"
"of June 29, 2018"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Sao Tome and Principe",4,4,0,0,0,0,0
"Saudi Arabia",232623,57295,121067,110031,3245,7791,54261
"Senegal",3,3,"*","*",0,"*",0
"Serbia and Montenegro (1)",1724,15,1549,1549,0,"*",160
"Seychelles",257,146,100,83,"*",17,11
"Sierra Leone",51,1,0,0,0,0,50
"Singapore",352542,180373,161754,116264,4105,41384,10416
"Sint Maarten (1)",165,121,35,0,4,31,9
"Slovakia",347,46,231,229,1,"*",70
"Slovenia",2070,1275,762,260,3,499,32
"Solomon Islands","*","*","*",0,0,"*",0
"Somalia","*","*",0,0,0,0,0
"South Africa",39422,11908,18112,16850,695,567,9402
"South Sudan","*","*",0,0,0,0,0
"Spain",55131,17653,35734,30189,645,4901,1743
"Sri Lanka",3490,34,3455,3455,0,"*",0
"Sudan",111,111,0,0,0,0,0
"Suriname",309,124,130,3,13,114,55
"Swaziland",147,4,142,41,11,90,0
"Sweden",216401,163570,52552,45503,241,6807,279
"Switzerland",813136,452299,330723,206351,11838,112534,30114
"Syria",3,3,"*",0,0,"*",0
"Taiwan",576755,65134,509607,160994,250008,98605,2014
"Tajikistan",1,1,0,0,0,0,0
"Tanzania",1879,15,1864,1862,0,2,0
"Thailand",76528,6024,54365,42320,7223,4822,16139
"Togo",2,1,1,0,0,1,0
"Tokelau","*","*",0,0,0,0,0
"Tonga",1,1,"*",0,0,"*",0
"Trinidad and Tobago",9766,2945,5805,1929,849,3027,1015
"Tunisia",1325,1053,272,272,0,1,0
"Turkey",29581,843,12510,12477,1,32,16228
"Turkmenistan","*","*",0,0,0,0,0
"Turks and Caicos Islands",808,478,308,48,22,238,23
"Uganda",923,18,469,349,26,93,435
"Ukraine",4012,2760,1252,1220,0,32,"*"
"United Arab Emirates",155677,88679,56656,49202,748,6706,10342
"United Kingdom",1598420,923804,629425,229106,10662,389658,45191
"Uruguay",11221,2528,7162,5602,547,1012,1531
"Uzbekistan",7,5,3,0,0,3,0
"Vanuatu",23,3,7,7,0,"*",13
"Venezuela",5663,3269,2256,109,47,2100,139
"Vietnam",20202,35,20167,20166,0,1,"*"
