"Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security"
"Type, as of June 30, 2024"
"Millions of dollars"
"","Total","","","Agen","cy","Corpo","rate"
"Sudan","*","*",0,0,0,0,0
"Suriname","*","*","*","*","*","*",0
"Eswatini","*","*","*","*",0,"*",0
"Sweden",452914,396021,45899,"*","*",10840,"*"
"Switzerland",1134077,791566,225894,945,9465,102594,3614
"Syria","*","*",0,0,0,0,0
"Taiwan",778274,145814,264809,635,191995,173003,2018
"Tajikistan","*","*","*","*",0,"*",0
"Tanzania",1893,"*",1877,"*",0,"*",0
"Thailand",82630,23506,45630,"*",11045,2443,"*"
"Togo","*","*","*",0,0,"*",0
"Tokelau","*","*",0,0,0,0,0
"Tonga","*","*",0,0,0,0,0
"Trinidad and Tobago",11935,5421,2339,"*",628,2902,553
"Tunisia","*","*","*","*",0,"*",0
"Turkey",4698,1351,3200,"*","*","*","*"
"Turkmenistan","*","*",0,0,0,0,0
"Turks and Caicos Isl.",2280,1601,"*","*","*","*","*"
"Uganda",850,"*",635,"*","*","*","*"
"Ukraine",15386,"*",15276,"*",0,"*",0
"United Arab Emirates",279241,213562,57077,"*",3567,4256,660
"United Kingdom",2838773,1742590,641191,2769,44382,388959,18882
"Uruguay",19093,3945,12315,"*","*",2338,"*"
"Uzbekistan","*","*","*","*",0,0,0
"Vanuatu","*","*","*",0,0,"*",0
"Venezuela",4940,2996,"*","*","*",1460,"*"
"Vietnam",27850,"*",27739,"*","*","*",0
"Wallis and Futuna","*","*",0,0,0,0,0
"West Bank and Gaza","*","*","*",0,0,0,0
"Western Sahara","*","*",0,0,0,0,0
"Yemen","*","*",0,0,0,0,0
"Zambia","*","*","*","*",0,"*",0
"Zimbabwe","*","*",0,0,0,"*",0
"Int. and reg. org.",129886,18263,74947,6074,6692,17784,6126
"Country Unknown",48814,"*","*","*","*",48673,0
""
"Total",29566246,16878226,7110504,38723,1291297,3950994,296502
""
"of which: Holdings of foreign official"
"institutions",6324012,1964614,3557321,10222,582007,187493,22355
""
"Totals by Region:"
"Total Africa",72388,33141,34364,"*",1257,3083,"*"
"Total Asia",8663732,3819240,3293976,7963,780225,717040,45288
"Total Caribbean",3338130,2205140,299119,6827,104730,621280,101034
"Total Europe",13290471,8129512,2548035,12045,217744,2275271,107864
"Total Latin America",779809,253524,455016,3761,14304,52004,1200
"Canada",2470367,1766312,339509,1544,151156,182272,29574
"Australia/Oceania",772649,652962,65528,"*",15190,33588,5200
"Country Unknown",48814,"*","*","*","*",48673,0
"Int. and reg. org.",129886,18263,74947,6074,6692,17784,6126
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
