"June              June              June              June              June              June              June"
"2018              2019              2020              2021              2022              2023              2024"
""
"corporate_foi_30+ years",4781,7072,9254,7974,6436,5670,6419
"corporate_private",3634608,3774637,4130679,4409882,3762865,3891391,4037649
"corporate_private_1 year or less",206833,239334,233198,234259,215828,228335,270497
"corporate_private_1 to 2 years",283950,303517,291439,293538,263154,326006,361957
"corporate_private_2 to 3 years",334920,342450,341344,288634,331363,374749,397157
"corporate_private_3 to 4 years",343466,352741,299453,384924,346655,355528,384598
"corporate_private_4 to 5 years",361362,305760,394918,402625,342913,357739,405050
"corporate_private_5 to 6 years",249248,275301,292885,339930,265846,287182,312330
"corporate_private_6 to 7 years",256324,253043,303446,285073,247482,276963,220795
"corporate_private_7 to 8 years",212907,244662,207185,263330,238237,176858,164081
"corporate_private_8 to 9 years",194326,146283,167803,244662,157341,139282,141498
"corporate_private_9 to 10 years",132803,142217,229700,188223,131557,132107,159818
"corporate_private_10 to 15 years",174041,197784,258769,287289,283212,317702,320561
"corporate_private_15 to 20 years",289599,300691,333652,324666,229261,216368,204652
"corporate_private_20 to 25 years",167366,192953,226129,244690,208949,216983,229268
"corporate_private_25 to 30 years",295652,344665,392758,444677,327355,305356,288460
"corporate_private_30+ years",99882,101405,131230,152067,139170,148496,139313
""
""
""
