                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as
of June 30, 2024
 Millions of dollars
                                                                                                  Debt (LT = long-term; ST = short-term)
                                                   Total                           LT              LT               LT              LT
 Countries and Regions                          (LT and ST)     Equities          Total         Treasury         Agency            Corp            ST
  Saudi Arabia                                         368299          202127          131222          109037            8309           13877           34949
  Senegal                                                   *               *               *               *               0               *               *
  Serbia                                                 2438               *            2402            2400               0               *               *
  Seychelles                                             1025             690               *               *               *               *               *
  Sierra Leone                                              *               *               0               0               0               0               *
  Singapore                                            880843          565963          303133          202356           10972           89805           11747
  Sint Maarten                                              *               *               *               *               *               *               *
  Slovakia                                                935               *             524             515               *               *               *
  Slovenia                                               4852            3929             797               *               *             623               *
  Solomon Islands                                           *               0               *               *               0               0               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          43615           25018           12778           10424             721            1632            5819
  Spain                                                141130           63635           74217           61958            6186            6073            3278
  Sri Lanka                                                 *               *               *               *               0               *               *
  Sudan                                                     *               *               0               0               0               0               0
  Suriname                                                574               *               *               *               *               *               *
  Eswatini                                                  *               *               *               *               *               *               *
  Sweden                                               453687          396021           56893           45899               *           10937             773
  Switzerland                                         1194330          791566          342511          225894           10410          106207           60253
  Syria                                                     *               *               0               0               0               0               0
  Taiwan                                               782591          145814          632460          264809          192630          175021            4317
  Tajikistan                                                *               *               *               *               *               *               *
  Tanzania                                               1893               *            1879            1877               *               *               0
  Thailand                                             112411           23506           59125           45630           11048            2446           29781
  Togo                                                      *               *               *               *               0               *               *
  Tokelau                                                   *               *               0               0               0               0               0
  Tonga                                                     *               *               0               0               0               0               0
  Trinidad and Tobago                                   13831            5421            6514            2339             720            3455            1895
  Tunisia                                                   *               *               *               *               *               *               *
  Turkey                                                 4958            1351            3347            3200               *               *               *
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Isl.                                  2609            1601             679               *               *               *               *
  Uganda                                                 1241               *             813             635               *               *               *
  Ukraine                                               15809               *           15295           15276               *               *               *
  United Arab Emirates                                 292548          213562           65679           57077            3686            4916           13307
  United Kingdom                                      2946046         1742590         1096183          641191           47152          407840          107274
  Uruguay                                               25948            3945           15148           12315               *            2339            6855
  Uzbekistan                                                *               *               *               *               *               0               *
  Vanuatu                                                   *               *               *               *               0               *               *
  Venezuela                                              5401            2996            1944               *               *            1484               *
  Vietnam                                               27855               *           27741           27739               *               *               *
  Wallis and Futuna                                         *               *               0               0               0               0               0
  West Bank and Gaza                                        *               *               *               *               0               0               *
  Western Sahara                                            *               *               0               0               0               0               0
  Yemen                                                     *               *               0               0               0               0               0
  Zambia                                                    *               *               *               *               *               *               *
  Zimbabwe                                                  *               *               *               0               0               *               *
  Int. and reg. org.                                   160601           18263          111623           74947           12766           23910           30715
  Country Unknown                                       48821               *           48682               *               *           48673               *

  Total                                              30880708        16878226        12688019         7110504         1330019         4247496         1314462

  of which: Holdings of foreign official
  institutions                                        6598394         1964614         4359398         3557321          592230          209848          274382

  Totals by Region:
  Total Africa                                          82306           33141           39247           34364            1584            3299            9918
  Total Asia                                          8944524         3819240         4844492         3293976          788188          762328          280792
  Total Caribbean                                     3593970         2205140         1132990          299119          111557          722314          255841
  Total Europe                                       13919294         8129512         5160959         2548035          229789         2383135          628823
  Total Latin America                                  838467          253524          526285          455016           18064           53204           58658
  Canada                                              2507823         1766312          704055          339509          152700          211846           37456
  Australia/Oceania                                    784902          652962          119687           65528           15371           38788           12253
  Country Unknown                                       48821               *           48682               *               *           48673               *
  Int. and reg. org.                                   160601           18263          111623           74947           12766           23910           30715


* Greater than zero but less than $500 million.
n.a. Not available.



