                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A4.  Foreign Holdings of U.S. Short-Term Debt Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Sudan                                                0               *               *               0               *               0               0               0
  Suriname                                             *               *               *               *               *               *               *               *
  Eswatini                                             0               0               0               *               0               *               *               *
  Sweden                                               *               1               1               1               1               1               1               *
  Switzerland                                         30              41              35              33              32              63              60              62
  Taiwan                                               2               4               6               6               7               6               4               5
  Tajikistan                                           0               0               0               0               0               *               *               *
  Tanzania                                             0               0               *               *               0               *               0               *
  Thailand                                            16              16              12               4              20              16              30              22
  Togo                                                 0               0               0               0               0               0               *               0
  Trinidad and Tobago                                  1               1               1               1               1               2               2               2
  Tunisia                                              0               0               *               0               0               *               *               *
  Turkey                                              16               *               1               1               1               1               *               2
  Turks and Caicos Isl.                                *               *               *               *               *               *               *               *
  Uganda                                               *               1               1               *               *               *               *               *
  Ukraine                                              *               *               *               *               *               3               *               *
  United Arab Emirates                                10              13              11              27              14              20              13              59
  United Kingdom                                      45              58              78              74              92              99             107              91
  Uruguay                                              2               3               6               9              10               9               7               9
  Uzbekistan                                           0               0               0               0               0               *               *               1
  Vanuatu                                              *               *               *               *               *               *               *               *
  Venezuela                                            *               *               *               *               *               1               *               *
  Vietnam                                              *               *               *               *               *               *               *               *
  West Bank and Gaza                                   0               0               0               0               0               *               *               *
  Zambia                                               0               0               0               0               0               *               *               *
  Zimbabwe                                             0               0               0               0               0               0               *               *
  Int. and reg. org.                                  20              17              29              21              21              21              31              41
  Country Unknown                                      *               *               *               *               *               *               *               0

  Total                                              980             913            1228            1076            1124            1186            1314            1649

  Totals by Region:
  Total Africa                                        33              28              21              25              11              26              10              10
  Total Asia                                         280             269             337             249             266             227             281             458
  Total Caribbean                                    157             148             173             181             224             217             256             250
  Total Europe                                       422             389             569             533             526             595             629             691
  Euro area countries                                308             267             421             390             383             399             438             506
  Total Latin America                                 37              35              56              37              45              56              59             146
  Total Oceania                                       11              10              14              11               9              15              12              14


* Greater than zero but less than $500 million.
n.a. Not available.




