                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Palau                                                *               *               *               *               *               *               *               *
  Panama                                              23              28              26              33              31              40              47              46
  Papua New Guinea                                     *               *               *               *               *               1               *               *
  Paraguay                                             *               1               3               8               8               7               7               8
  Peru                                                32              36              30              40              42              44              53              57
  Philippines                                         36              38              48              56              55              54              64              62
  Pitcairn Island                                      *               *               *               0               0               *               *               *
  Poland                                              43              30              42              58              38              51              52              71
  Portugal                                             7               9              12              15              13              16              19              16
  Qatar                                               11              33              42              42              36              56              72              82
  Reunion                                              *               *               *               *               *               *               *               *
  Romania                                              8               8               7               8               8               9               9              11
  Russia                                              15              11               6               5               3               1               1               2
  Rwanda                                               *               *               *               1               1               1               1               1
  Saint Helena                                         0               0               *               *               0               0               0               0
  Saint Kitts and Nevis                                4               8               8               8               7              10              10              12
  Saint Lucia                                          *               *               1               1               1               1               1               2
  Saint Martin and Saint Barthelemy                    *               *               *               *               *               *               *               *
  Saint Pierre and Miquelon                            0               0               0               0               0               *               *               0
  Saint Vincent and the Grenadines                     *               *               *               *               *               *               *               *
  Samoa                                                *               *               *               *               1               *               1               2
  San Marino                                           *               *               *               *               *               *               *               *
  Sao Tome and Principe                                *               *               *               *               *               *               *               *
  Saudi Arabia                                       233             289             279             323             311             306             368             361
  Senegal                                              *               *               *               *               *               *               *               1
  Serbia                                               2               2               2               1               1               2               2               3
  Seychelles                                           *               *               *               1               *               1               1               1
  Sierra Leone                                         *               *               *               *               *               *               *               *
  Singapore                                          353             363             377             565             560             674             881            1118
  Sint Maarten                                         *               *               *               *               *               *               *               *
  Slovakia                                             *               1               *               *               1               1               1               1
  Slovenia                                             2               2               2               3               3               3               5               6
  Solomon Islands                                      *               *               *               *               *               *               *               *
  Somalia                                              *               *               *               *               *               *               *               *
  South Africa                                        39              26              26              35              33              40              44              45
  South Sudan                                          *               0               0               *               *               0               0               *
  Spain                                               55              68              72              78              70             105             141             153
  Sri Lanka                                            3               2               3               *               *               *               *               *
  Sudan                                                *               *               *               *               *               *               *               *
  Suriname                                             *               1               *               *               *               *               1               1
  Eswatini                                             *               *               *               *               *               *               *               *
  Sweden                                             216             236             238             356             331             365             454             454
  Switzerland                                        813             813             854            1184            1015            1087            1194            1377
  Syria                                                *               *               *               *               *               *               *               *
  Taiwan                                             577             626             699             757             697             717             783             854
  Tajikistan                                           *               *               *               *               *               *               *               *
  Tanzania                                             2               1               2               2               2               2               2               2
  Thailand                                            77             104             111              95              87              98             112             127
  Togo                                                 *               *               *               *               *               *               *               *
  Tokelau                                              *               *               *               *               *               *               *               *
  Tonga                                                *               *               *               *               *               *               *               *
  Trinidad and Tobago                                 10              11              10              11              10              12              14              15
  Tunisia                                              1               1               1               2               *               *               *               *
  Turkey                                              30               3               3               3               3               3               5               9
  Turkmenistan                                         *               *               *               *               *               *               *               *
  Turks and Caicos Isl.                                1               1               1               1               2               2               3               2
  Tuvalu                                               0               0               *               0               0               0               0               0
  Uganda                                               1               1               1               1               1               1               1               1
  Ukraine                                              4               4               6               6               8              22              16              14
  United Arab Emirates                               156             160             162             204             179             220             293             333
  United Kingdom                                    1598            1776            1988            2617            2434            2627            2946            3462
  Uruguay                                             11              13              14              17              17              23              26              29
  Uzbekistan                                           *               *               *               *               *               *               *               1
  Vanuatu                                              *               *               *               *               *               *               *               *
  Venezuela                                            6               7               5               6               4               5               5               6
  Vietnam                                             20              25              30              39              39              34              28              30
  Wallis and Futuna                                    *               *               0               0               *               *               *               0
  West Bank and Gaza                                   *               *               *               *               *               *               *               *
  Western Sahara                                       0               0               0               *               *               *               *               *
  Yemen                                                *               *               *               *               *               *               *               *
  Zambia                                               *               *               *               *               *               *               *               *
  Zimbabwe                                             *               *               *               *               *               *               *               *
  Int. and reg. org.                                  86              84             100              96             109             128             161             170
  Country Unknown                                     79              56              76              71              57              97              49             117

  Total                                            19400           20534           21954           27189           24893           26872           30881           35349

  Totals by Region:
  Total Africa                                        91              84              84              91              82              99              82              92
  Total Asia                                        6462            6951            7543            8444            7745            8082            8945            9834
  Total Caribbean                                   2339            2499            2560            3184            2918            3093            3594            4152
  Total Europe                                      8170            8569            9268           12153           10894           12011           13919           16225
  Euro area countries                               4814            4949            5339            6850            6141            6720            7795            9110
  Total Latin America                                625             645             590             643             617             678             838             967
  Total Oceania                                      338             385             397             531             628             629             785             893


* Greater than zero but less than $500 million.
n.a. Not available.




