                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2025
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  San Marino                                                *               *               *               0               0               *               0
  Sao Tome and Principe                                     *               *               *               0               0               0               0
  Saudi Arabia                                         333866          215299          103363               *            3996           10345             809
  Senegal                                                 677             645               *               0               0               *               0
  Serbia                                                 2304               *            2260               0               0               *               *
  Seychelles                                             1076             702               *               *               *               *               *
  Sierra Leone                                              *               *               0               0               0               *               0
  Singapore                                           1104252          758799          239435               *           16201           71433           18076
  Sint Maarten                                              *               *               *               0               *               *               0
  Slovakia                                                783               *             603               0               0               *               0
  Slovenia                                               5879            4924               *               *               0             728               0
  Solomon Islands                                           *               0               *               0               0               0               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          40171           28130            9543               *             626            1818               *
  South Sudan                                               *               *               0               0               0               0               0
  Spain                                                148940           74808           59352               *            7248            5941            1554
  Sri Lanka                                                 *               *               *               0               0               *               0
  Sudan                                                     *               *               0               0               0               0               0
  Suriname                                                  *               *               *               *               *               *               *
  Eswatini                                                  *               *               *               *               0               *               0
  Sweden                                               453635          396013           47911               *               *            9579               *
  Switzerland                                         1314967          938993          239277             594            7694          125049            3360
  Syria                                                     *               *               0               0               0               0               0
  Taiwan                                               848804          172178          303791             708          183837          186220            2071
  Tajikistan                                                *               *               *               *               0               *               0
  Tanzania                                               1848               *            1826               *               0               *               0
  Thailand                                             105416           30317           61437               *           10786            2852               *
  Togo                                                      *               *               0               0               0               0               0
  Tokelau                                                   *               *               0               0               0               0               0
  Tonga                                                     *               *               0               0               0               0               0
  Trinidad and Tobago                                   13319            5890            2703               *             713            3355             595
  Tunisia                                                   *               *               *               *               0               *               0
  Turkey                                                 6970            1292            5526               *               *               *               *
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Isl.                                  2180            1641               *               *               *               *               *
  Uganda                                                 1054               *             825               *               *               *               *
  Ukraine                                               13120               *           12952               *               0               *               0
  United Arab Emirates                                 274549          231325           37668               *             850            4177               *
  United Kingdom                                      3370662         2057156          768284            3162           53248          462370           26443
  Uruguay                                               20504            4772           12654               *             500            2543               *
  Uzbekistan                                                *               *               *               *               0               0               0
  Vanuatu                                                   *               *               *               0               0               *               0
  Venezuela                                              5283            3355               *               *               *            1515               *
  Vietnam                                               29947               *           29835               *               *               *               0
  West Bank and Gaza                                        *               *               0               0               0               0               0
  Western Sahara                                            *               *               0               0               0               0               0
  Yemen                                                     *               *               0               0               0               0               0
  Zambia                                                    *               *               *               *               0               *               0
