"Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and"
"Type of Treasury Security, as of June 30, 2022"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"Marshall Islands",229,40,40,"*",0,188
"Mauritania",211,209,208,1,0,2
"Mauritius",1245,1225,1136,89,0,20
"Mexico",48171,34278,22832,3471,7974,13893
"Moldova",1579,1579,1579,1,0,0
"Monaco",405,390,330,60,0,15
"Mongolia",217,217,217,0,0,0
"Montserrat",30,29,29,"*",0,1
"Morocco",3876,3868,3851,17,0,8
"Mozambique",439,439,439,1,0,0
"Namibia",176,168,166,2,0,8
"Nepal",857,707,707,0,0,150
"Netherlands",64195,63432,61330,2102,"*",763
"New Zealand",4836,4486,4363,26,98,351
"Nicaragua",4,1,1,0,0,3
"Nigeria",5524,5453,5453,"*",0,71
"Norway",110343,110210,99616,10594,"*",133
"Oman",6698,6614,6290,8,316,84
"Pakistan",1329,1209,1197,12,0,120
"Palau",19,19,19,0,0,0
"Panama",4455,2078,1973,102,3,2377
"Papua New Guinea",479,479,479,0,0,0
"Paraguay",7259,7241,7236,4,0,19
"Peru",30762,30337,30238,100,0,425
"Philippines",48404,47681,39935,7746,0,723
"Poland",35278,34087,34071,16,0,1190
"Portugal",5133,4548,4404,144,0,585
"Qatar",10358,7263,7263,0,0,3095
"Romania",7174,7174,7124,"*",50,0
"Russia",1982,4,4,"*",0,1978
"Rwanda",504,504,503,1,0,0
"Saint Kitts and Nevis",365,233,230,3,"*",131
"Saint Lucia",237,226,226,"*",0,11
"Saint Vincent and the Grenadines",146,136,136,"*",0,10
"Samoa",20,2,2,0,0,18
"Sao Tome and Principe",4,4,4,0,0,0
"Saudi Arabia",118827,101735,96262,3874,1600,17092
"Serbia",948,948,948,0,0,0
"Seychelles",133,132,129,4,0,"*"
"Sierra Leone",25,0,0,0,0,25
"Singapore",179224,169101,114139,54741,221,10123
"Sint Maarten",25,23,23,0,0,2
"Slovakia",444,398,398,0,0,46
"Slovenia",240,206,206,"*",0,34
"Solomon Islands",200,200,200,0,0,0
"South Africa",15318,13227,12093,1133,0,2091
"Spain",27015,26057,25412,614,31,957
"Sri Lanka",28,28,28,0,0,"*"
"Sudan",1,0,0,0,0,1
"Suriname",79,76,76,"*",0,3
"Eswatini",45,45,44,1,0,0
"Sweden",47591,47015,44695,2221,99,576
"Switzerland",289086,258622,214357,42546,1719,30465
"Taiwan",232128,226522,218224,8238,60,5606
"Tajikistan",41,41,41,1,0,0
"Tanzania",1736,1736,1736,0,0,0
"Thailand",48902,28612,25741,2593,279,20290
"Trinidad and Tobago",2643,1865,1853,12,0,778
"Tunisia",269,269,268,1,0,0
"Turkey",1669,1216,1216,0,0,453
"Turks and Caicos Islands",322,236,232,4,0,86
"Uganda",850,557,556,1,0,293
"Ukraine",8077,7816,7816,0,0,261
"United Arab Emirates",39660,25920,22556,3221,142,13741
"United Kingdom",612130,524774,454015,53275,17484,87356
"Uruguay",12152,3091,2964,127,"*",9062
"Uzbekistan",122,122,120,2,0,0
"Vanuatu",20,7,7,0,0,13
"Venezuela",149,67,62,5,"*",82
"Vietnam",39176,39176,39176,"*",0,0
"Yemen","*","*","*","*",0,0
"Zambia",136,136,135,2,0,0
"International and regional organizations",63274,49201,38089,11024,88,14073
"Country Unknown",37,12,12,0,0,25
""
"Total",7375412,6481669,5768332,615743,97595,893742
""
"of which: Holdings of foreign official"
"institutions",3843857,3606800,3246956,334841,25003,237058
""
"Totals by Region:"
"Total Africa",48179,38422,37123,1253,46,9757
"Total Asia",3586076,3360028,3074763,278055,7210,226048
"Total Caribbean",462847,259694,191752,61829,6112,203153
"Total Europe",2529088,2150992,1876085,210645,64262,378096
"Total Latin America",421503,383353,336644,29165,17544,38150
"Canada",204432,187607,164260,22193,1154,16825
"Australia/Oceania",59976,52360,49605,1577,1178,7615
"Country Unknown",37,12,12,0,0,25
"International and regional organizations",63274,49201,38089,11024,88,14073
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less."
""
""
""
