"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2022"
"Millions of dollars, parts may not sum to total as some bonds have unknown maturities."
""
""
"","June","June","","June","June","","June","June","","June"
"",2016,2017,"",2018,2019,"",2020,2021,"",2022
"1 to 2 years",26478,"",10722,12700,"",5960,9219,"",4109,6055
"2 to 3 years",7244,"",10756,4831,"",8816,4113,"",4862,3751
"3 to 4 years",4519,"",2393,4468,"",1984,1768,"",2653,3332
"4 to 5 years",3122,"",4509,2192,"",1841,5094,"",3191,2428
"5 to 6 years",1421,"",1367,800,"",1230,866,"",1661,1469
"6 to 7 years",1244,"",1086,1185,"",937,2345,"",1584,1959
"7 to 8 years",1483,"",1433,873,"",988,1511,"",1491,1879
"8 to 9 years",2098,"",1212,1122,"",1014,2005,"",2255,1642
"9 to 10 years",2256,"",1607,907,"",1468,2009,"",1683,2013
"10 to 15 years",8134,"",8667,7264,"",11278,14021,1,6064,17364
"15 to 20 years",11103,"",13391,15729,"",17197,21411,2,4861,26574
"20 to 25 years",70681,"",66356,104067,1,17711,137069,10,6482,96436
"25 to 30 years",287279,"",294084,421144,4,78928,480586,46,9698,486431
"30+ years",2275,"",2152,1960,"",1854,4159,"",8183,2844
""
"Agencies Private",508653,"",553719,445203,4,86786,536467,60,3961,544497
"1 year or less",14074,"",12658,8163,"",9158,6874,"",5664,5455
"1 to 2 years",18827,"",10040,9614,"",7683,7014,"",4983,4063
"2 to 3 years",6472,"",7437,7462,"",4241,3782,"",4957,6121
"3 to 4 years",4194,"",4459,5180,"",2323,3108,"",5112,5561
"4 to 5 years",3985,"",5182,3795,"",3000,6189,"",6142,8454
"5 to 6 years",4512,"",2764,2914,"",5825,3648,"",6574,5678
"6 to 7 years",2777,"",3181,6159,"",2415,5251,"",5224,9554
"7 to 8 years",3127,"",6954,2652,"",3424,3901,"",7153,6465
"8 to 9 years",7923,"",3581,4503,"",4996,7397,"",9560,6949
"9 to 10 years",4423,"",6744,4292,"",8869,9869,"",8368,7695
"10 to 15 years",28486,"",34872,32934,"",30393,23523,2,5040,22126
"15 to 20 years",18521,"",20374,17359,"",16222,19330,2,6503,27947
"20 to 25 years",59386,"",67589,67466,"",62554,58430,5,0922,55358
"25 to 30 years",315707,"",349280,251771,3,03563,350139,40,0285,343104
"30+ years",7440,"",10135,12403,"",18098,23051,2,9445,21053
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2022"
"Millions of dollars, parts may not sum to tot","al as some bonds","have unknown matu","rities."
""
""
"","June","June","","June","June","","June","June","","June"
"",2016,2017,"",2018,2019,"",2020,2021,"",2022
""
"Corporate",3505220,3,843861,3790465,39,43234,4330730,458,0814,3915974
"1 year or less",238194,"",266666,223017,2,58170,248765,24,2911,223602
"1 to 2 years",314605,"",279834,299644,3,21056,306924,30,5299,276687
"2 to 3 years",300265,"",354445,352206,3,61711,359048,30,4725,350957
"3 to 4 years",299587,"",345338,358610,3,68947,315574,40,2019,362323
"4 to 5 years",349879,"",379506,377830,3,21827,416408,41,8798,359785
"5 to 6 years",238253,"",304310,260357,2,88271,307551,35,4779,278959
"6 to 7 years",260194,"",236231,268032,2,64522,317763,29,7261,257202
"7 to 8 years",163974,"",215542,221679,2,55258,216543,27,2822,250281
"8 to 9 years",155750,"",177998,203080,1,53762,176686,25,7211,165535
"9 to 10 years",168700,"",203113,141547,1,50746,246833,19,9079,139453
"10 to 15 years",162557,"",170468,179574,2,04841,268625,29,7008,292822
"15 to 20 years",212368,"",270935,297287,3,08706,344899,33,4726,238280
"20 to 25 years",233762,"",195794,173040,1,98170,232898,25,1344,213754
"25 to 30 years",271728,"",314348,308326,3,59350,415116,46,1900,340557
"30+ years",113018,"",104716,104663,1,08478,140484,16,0040,145606
""
"Corporate FOI",172725,"",170866,155856,1,68598,200050,17,0932,153109
"1 year or less",11431,"",17940,16183,"",18837,15567,"",8652,7774
"1 to 2 years",15632,"",16064,15693,"",17539,15486,1,1761,13533
"2 to 3 years",18988,"",19369,17286,"",19260,17703,1,6090,19594
"3 to 4 years",17299,"",15627,15144,"",16206,16120,1,7095,15668
"4 to 5 years",16489,"",18215,16467,"",16067,21490,1,6172,16872
