                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as
of June 30, 2021
 Millions of dollars
                                                                                                  Debt (LT = long-term; ST = short-term)
                                                   Total                           LT              LT               LT              LT
 Countries and Regions                          (LT and ST)     Equities          Total         Treasury         Agency            Corp            ST
  El Salvador                                            1090             385             425             178               4             242             280
  Equatorial Guinea                                         *               *               *               0               0               *               0
  Eritrea                                                   *               *               0               0               0               0               0
  Estonia                                                1520            1242             187              98              11              78              91
  Ethiopia                                                  4               4               0               0               0               0               0
  Falkland Islands                                         59              58               1               0               0               1               0
  Faroe Islands                                             1               1               0               0               0               0               0
  Federated States of Micronesia                          210             125              85              51              15              19               0
  Fiji                                                      5               2               2               0               2               *               0
  Finland                                               65366           52657           12101            5681               1            6419             609
  France                                               682042          359178          303090          206149           14227           82714           19774
  French Guiana                                            17              15               2               0               0               2               0
  French Polynesia                                         85              81               2               *               *               2               2
  Gabon                                                    80              63              17               4               0              13               0
  Gambia                                                   73               2               0               0               0               0              71
  Georgia                                                  11              11               *               *               0               0               0
  Germany                                              561539          331769          222153           75633            5154          141366            7618
  Ghana                                                  3339              19            3189            3132               0              57             131
  Gibraltar                                               977             414             406               9               1             396             158
  Greece                                                 6541            3465            1513            1298               4             211            1562
  Grenada                                                 317             123             192             157              11              24               2
  Guadeloupe                                               12              12               0               0               0               0               0
  Guatemala                                              9131             493            8472            5278            2606             587             166
  Guernsey                                              69859           56356           10824            5252              64            5508            2679
  Guinea                                                  101             101               0               0               0               0               0
  Guinea-Bissau                                             *               *               0               0               0               0               0
  Guyana                                                  219              46             173              14             153               6               0
  Haiti                                                  1691             143            1535             222             424             889              13
  Holy See (Vatican)                                       42               2              41              12               0              29               0
  Honduras                                               3838             325            3513            3430              11              71               1
  Hong Kong                                            471225          169870          279870          197562            8816           73491           21485
  Hungary                                                5819            1737            2858             683            2118              57            1224
  Iceland                                                3275            1771            1504            1483              20               1               *
  India                                                229912            9030          210378          209736             133             509           10503
  Indonesia                                             33519             637           28490           19503            5800            3187            4391
  Iran                                                      3               3               0               0               0               0               0
  Iraq                                                  21187               2            9217            9217               0               0           11968
  Ireland                                             1498984          820578          505391          191768           20634          292988          173015
  Isle of Man                                           12802            2175            1282             980               9             294            9345
  Israel                                               204503          130011           64964           53346            4533            7085            9528
  Italy                                                132490           71059           59841           38340             555           20946            1590
  Jamaica                                                1441             351            1029             652               *             376              62
  Japan                                               2764950          866101         1831963         1213260          310954          307750           66886
  Jersey                                                36638           29436            6190            2240             483            3468            1011
  Jordan                                                  939             113             824             820               *               4               2
  Kazakhstan                                             2512             248            1714            1209             136             369             550
  Kenya                                                  6258             104            6155            6152               0               3               0
  Kiribati                                                309             309               0               0               0               0               0
  Korea, South                                         569768          329251          226641          117120           43457           66064           13877
  Kosovo                                                   12               6               1               0               0               1               5
  Kuwait                                               371098          284832           62367           34827            4710           22830           23899
  Kyrgyzstan                                                *               *               0               0               0               0               0
  Laos                                                      7               7               0               0               0               0               0
  Latvia                                                 2570             615            1656             171            1119             366             299
  Lebanon                                                 401             385              16               1               *              14               *
  Lesotho                                                  68               *              66              66               0               0               2
  Liberia                                                1091             702             286              24               1             261             103
  Libya                                                  1975               3            1972            1673               0             299               0
  Liechtenstein                                         14106           13241             862             151              40             671               4
  Lithuania                                              2286             262            1989            1778             205               6              36
  Luxembourg                                          2301244         1195178          959817          199676           36620          723521          146249
  Macau                                                  6211            3852            2288             788             266            1234              71
  Macedonia                                                 7               1               0               0               0               0               6
  Madagascar                                              693              15             677             677               0               0               0
  Malawi                                                   89              80               8               7               0               2               0
  Malaysia                                              59817           26773           32961           10667           19092            3201              84
  Maldives                                                 15               *              15              15               0               0               0
  Mali                                                      1               1               0               0               0               0               0
  Malta                                                  4262            2481            1646             550               7            1089             136
  Marshall Islands                                       2762            2403             324              11              12             301              35
  Martinique                                                1               1               1               0               0               1               0
  Mauritania                                              189               *             188             188               0               0               0
  Mauritius                                              2135             715             835             718               3             113             585
  Mexico                                               107929           39576           54514           36005           13944            4565           13839
  Moldova                                                1508               6            1502            1502               0               0               0
  Monaco                                                 3001            2300             507             278               9             221             195
  Mongolia                                                251               5             246             246               0               0               *
  Montenegro                                                2               2               0               0               0               0               0
  Montserrat                                               30               2              27              26               0               1               1
  Morocco                                                4596             514            4081            4080               *               1               1
  Mozambique                                              354               2             352             340               *              12               0
  Namibia                                                 391             347              44              44               0               *               0
  Nauru                                                    48              48               0               0               0               0               0
  Nepal                                                   909              10             549             549               0               0             350
  Netherlands                                          529924          354447          173273           71117           16726           85430            2204
  New Caledonia                                           139             139               *               0               0               *               0
  New Zealand                                           58778           47463            9650            5195             863            3592            1665
  Nicaragua                                               267              92             147               1               *             146              29
  Niger                                                     2               2               0               0               0               0               0
  Nigeria                                                5369             198            5152            4509             518             125              20
  Niue                                                      *               *               0               0               0               0               0
  Norway                                               614365          446251          166891          114061             192           52639            1223
  Oman                                                  17666           10469            7145            5215              11            1919              52
  Pakistan                                               1450              87             535             498               *              37             828
  Palau                                                   261             199              63              16              10              37               0
  Panama                                                33029           19712            9348            1525            1054            6769            3969
  Papua New Guinea                                        201               1              19              19               0               0             180
  Paraguay                                               8065             252            7795            7723               2              71              18
  Peru                                                  39730            7892           30961           29069             277            1615             877
  Philippines                                           55592            4363           49701           48193             841             667            1528
  Poland                                                57793            2589           43494           42439               *            1055           11710
  Portugal                                              14916            8073            6351            5214               1            1135             493
  Qatar                                                 42008           27637            9356            8475             238             643            5015
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                7512             297            5329            5051               *             278            1886
  Russia                                                 4714             627             385             304               *              81            3701
  Rwanda                                                  539               1             537             537               0               0               1
  Saint Helena                                              *               *               0               0               0               0               0
  Saint Kitts and Nevis                                  8164            6822            1261             218              23            1020              81
  Saint Lucia                                             815             404             409             190               1             218               2
  Saint Martin & Saint Barthelemy                          59              53               5               0               0               5               0
  Saint Vincent and the Grenadines                        204              70             132             121               0              11               1
  Samoa                                                   425             411              14               0               1              13               1
  San Marino                                               27               1              26               0               0              26               0
  Sao Tome and Principe                                    10               6               5               5               0               0               0
  Saudi Arabia                                         322733          182031          116360          103412            1333           11615           24342
  Senegal                                                   9               9               0               0               0               0               0
  Serbia                                                 1028              24             974             974               0               *              30
  Seychelles                                              868             683             183             151               1              32               1
  Sierra Leone                                            100               *               0               0               0               0             100
  Singapore                                            565273          327328          226793          177667            4322           44803           11152
  Sint Maarten                                            162             115              35               8               3              24              11
  Slovakia                                                365              83             216             193               1              22              67
  Slovenia                                               3298            2252             980             289               *             691              66
  Solomon Islands                                         109               *             109             109               0               0               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          35309           17854            9521            8065             607             849            7934
  South Sudan                                               *               *               0               0               0               0               0
  Spain                                                 78371           39491           37335           28812            3977            4546            1545
  Sri Lanka                                               392              30             363             362               0               *               0
  Sudan                                                     *               *               0               0               0               0               0
  Suriname                                                249             135              73               7               2              64              41
  Swaziland                                                46               2              42              42               0               0               1
  Sweden                                               356077          307104           48470           42269             108            6093             503
  Switzerland                                         1183698          759085          391147          269760           23444           97942           33467
  Syria                                                     2               2               0               0               0               0               0
  Taiwan                                               757447          109945          641832          234149          243019          164664            5670
  Tajikistan                                               39               *              39              38               0               *               0
  Tanzania                                               1957              19            1919            1917               0               3              19
  Thailand                                              94928           27238           63484           51822           10055            1607            4206
  Togo                                                      2               1               1               0               0               1               0
  Tokelau                                                   1               1               0               0               0               0               0
  Tonga                                                     *               *               0               0               0               0               0
  Trinidad and Tobago                                   10942            4491            5484            2067             753            2665             967
  Tunisia                                                1621            1394             227             227               0               1               0
  Turkey                                                 3201             972            1317            1279               *              38             912
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Islands                               1481            1021             435              93              56             286              24
  Uganda                                                 1103              29             591             465              62              64             483
  Ukraine                                                6086              56            6002            6001               0               1              28
  United Arab Emirates                                 203857          133818           43473           33780            1122            8571           26567
  United Kingdom                                      2616741         1540460         1002694          464231           39346          499117           73587
  Uruguay                                               17314            4581            4074            2595             360            1119            8659
  Uzbekistan                                              125               2             122             122               0               0               0
  Vanuatu                                                  24               4               7               7               0               0              13
  Venezuela                                              5936            4277            1609              51              20            1537              50
  Vietnam                                               39314              70           39241           39238               *               2               3
  West Bank and Gaza                                        1               1               0               0               0               0               0
  Western Sahara                                            *               *               0               0               0               0               0
  Yemen                                                     *               *               *               *               0               *               0
  Zambia                                                  138               3             135             133               0               1               0
  Zimbabwe                                                 13              12               1               *               0               1               0
  International and regional organizations              96017           12862           61873           42153            8009           11710           21282
  Country Unknown                                       70728            1257           69465               *             114           69351               7

  Total                                              27190310        13705222        12408496         6574108         1245801         4588587         1076592

  of which: Holdings of foreign official
  institutions                                        6470858         1437699         4759502         3940118          648298          171085          273658

  Totals by Region:
  Total Africa                                          90783           24569           41112           37549            1236            2328           25102
  Total Asia                                          8443940         2927935         5266978         3647095          876524          743359          249027
  Total Caribbean                                     3184439         1888192         1115640          218720           75950          820971          180607
  Total Europe                                       12153408         6773825         4846338         2032125          176264         2637948          533246
  Total Latin America                                  643117          156060          450185          404116           20922           25147           36871
  Canada                                              1976594         1494656          462316          149733           81116          231467           19622
  Australia/Oceania                                    531283          425866           94589           42616            5667           46306           10828
  Country Unknown                                       70728            1257           69465               *             114           69351               7
  International and regional organizations              96017           12862           61873           42153            8009           11710           21282


* Greater than zero but less than $500,000.
n.a. Not available.



