Methodology,Year,Investor,Asset_Class,Asset_Class_Code,Destination,Destination_Restated,Value
2,2012,USA,4,BC,CYM,CHN,0.08453477174043655
2,2012,USA,4,BC,HKG,CHN,0.649726927280426
2,2012,USA,4,BC,VGB,CHN,0.5938833951950073
2,2012,USA,5,BG,HKG,CHN,0.007938114926218987
2,2012,USA,2,BSF,CYM,CHN,0.0019042128697037697
2,2012,USA,3,E,CYM,CHN,0.745132565498352
2,2012,USA,3,E,HKG,CHN,0.3993106186389923
2,2012,USA,3,E,VGB,CHN,0.019558720290660858
2,2011,USA,4,BC,CYM,CHN,0.07774657011032104
2,2011,USA,4,BC,HKG,CHN,0.7337691831602293
2,2011,USA,4,BC,VGB,CHN,0.3857329487800598
2,2011,USA,3,E,CYM,CHN,0.7684326767921448
2,2011,USA,3,E,HKG,CHN,0.43836304545402527
2,2011,USA,3,E,VGB,CHN,0.029145605862140656
2,2010,USA,4,BC,CYM,CHN,0.06639985740184784
2,2010,USA,4,BC,HKG,CHN,0.7346556186676025
2,2010,USA,4,BC,VGB,CHN,0.18513840436935425
2,2010,USA,3,E,CYM,CHN,0.7852124571800232
2,2010,USA,3,E,HKG,CHN,0.4400196969509125
2,2010,USA,3,E,VGB,CHN,0.21888400614261627
2,2009,USA,4,BC,CYM,CHN,0.03998137637972832
2,2009,USA,4,BC,VGB,CHN,0.119251549243927
2,2009,USA,3,E,CYM,CHN,0.6868054866790771
2,2009,USA,3,E,HKG,CHN,0.45511776208877563
2,2009,USA,3,E,VGB,CHN,0.2339969128370285
2,2008,USA,4,BC,CYM,CHN,0.043540749698877335
2,2008,USA,4,BC,HKG,CHN,0.18246746063232422
2,2008,USA,4,BC,VGB,CHN,0.06568676233291626
2,2008,USA,3,E,CYM,CHN,0.5683135986328125
2,2008,USA,3,E,HKG,CHN,0.48826396465301514
2,2008,USA,3,E,VGB,CHN,0.14348912239074707
2,2007,USA,4,BC,CYM,CHN,0.012605434283614159
2,2007,USA,4,BC,HKG,CHN,0.4029904305934906
2,2007,USA,4,BC,VGB,CHN,0.04358396306633949
2,2007,USA,3,E,CYM,CHN,0.34452131390571594
2,2007,USA,3,E,HKG,CHN,0.47202178835868835
2,2007,USA,3,E,VGB,CHN,0.12715044617652893
4,2020,USA,4,BC,CYM,CHN,0.3934595521366329
4,2020,USA,4,BC,HKG,CHN,0.21797947394725525
4,2020,USA,4,BC,VGB,CHN,0.07845126837491989
4,2020,USA,3,E,CYM,CHN,0.7831957340240479
4,2020,USA,3,E,HKG,CHN,0.22437099959677456
4,2020,USA,3,E,VGB,CHN,0.031808558851480484
4,2019,USA,4,BC,CYM,CHN,0.3278023898601532
4,2019,USA,4,BC,HKG,CHN,0.21663588285446167
4,2019,USA,4,BC,VGB,CHN,0.06902306526899338
4,2019,USA,3,E,CYM,CHN,0.7817209362983704
4,2019,USA,3,E,HKG,CHN,0.309536926801571
4,2019,USA,3,E,VGB,CHN,0.03424227237701416
4,2018,USA,4,BC,CYM,CHN,0.316173333893617
