"Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as"
"of June 30, 2023"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Saint Lucia",1134,"*",638,"*","*","*","*"
"Saint Martin and Saint Barthelemy","*","*","*",0,0,"*",0
"Saint Pierre and Miquelon","*",0,0,0,0,0,"*"
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*"
"San Marino","*","*","*",0,0,"*",0
"Sao Tome and Principe","*","*","*","*",0,0,0
"Saudi Arabia",305810,184114,110852,99818,3090,7945,10844
"Senegal","*","*","*","*",0,0,"*"
"Serbia",1849,"*",1821,1820,0,"*","*"
"Seychelles",650,"*","*","*","*","*","*"
"Sierra Leone","*","*",0,0,0,0,"*"
"Singapore",673984,408083,256727,178401,7336,70990,9174
"Sint Maarten","*","*","*","*","*","*","*"
"Slovakia",694,"*",526,516,"*","*","*"
"Slovenia",3428,2501,858,"*",0,640,"*"
"Solomon Islands","*",0,"*","*",0,0,0
"Somalia","*","*",0,0,0,0,0
"South Africa",39508,20313,16444,14125,823,1496,2751
"Spain",105147,39598,63087,51889,5457,5740,2462
"Sri Lanka","*","*","*","*",0,"*","*"
"Sudan","*","*",0,0,0,0,0
"Suriname","*","*","*","*","*","*","*"
"Eswatini","*","*","*","*","*",0,"*"
"Sweden",365451,314673,50174,41847,"*",8239,603
"Switzerland",1087042,682699,341147,242202,8328,90617,63196
"Syria","*","*",0,0,0,0,0
"Taiwan",716529,111893,598675,236076,208190,154409,5960
"Tajikistan","*","*","*","*","*","*","*"
"Tanzania",1844,"*",1826,1821,"*","*","*"
"Thailand",98081,19776,62105,46296,13438,2371,16200
"Togo","*","*","*","*",0,"*",0
"Tokelau","*","*",0,0,0,0,0
"Tonga","*","*",0,0,0,0,0
"Trinidad and Tobago",12428,4469,6383,2274,944,3166,1576
"Tunisia","*","*","*","*","*","*","*"
"Turkey",3468,1120,1732,1671,"*","*",615
"Turkmenistan","*","*",0,0,0,0,0
"Turks and Caicos Isl.",1920,1183,598,"*","*","*","*"
"Uganda",1092,"*",600,"*","*","*","*"
"Ukraine",21799,"*",18862,18845,"*","*",2889
"United Arab Emirates",219508,146933,52376,45455,2838,4083,20199
"United Kingdom",2626760,1456902,1070827,580349,55031,435448,99031
"Uruguay",23087,3477,10844,8427,508,1909,8766
"Uzbekistan","*","*","*","*","*",0,"*"
"Vanuatu","*","*","*","*",0,"*","*"
"Venezuela",5226,3091,1634,"*","*",1276,500
"Vietnam",33743,"*",33594,33592,"*","*","*"
"Wallis and Futuna","*","*",0,0,0,0,0
"West Bank and Gaza","*","*",0,0,0,0,"*"
"Western Sahara","*","*","*",0,0,"*",0
"Yemen","*","*","*","*","*","*",0
"Zambia","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*",0,0,"*",0
"Int. and reg. org.",128192,17291,90401,62510,10837,17054,20500
"Country Unknown",96527,1284,95119,"*","*",94887,"*"
""
"Total",26871820,13719016,11967296,6638762,1269623,4058910,1185507
""
"of which: Holdings of foreign official"
"institutions",6146450,1554309,4368208,3543978,656711,167519,223933
""
"Totals by Region:"
"Total Africa",99021,30571,42563,38171,1527,2866,25887
"Total Asia",8082000,3061763,4792931,3244403,838430,710098,227306
"Total Caribbean",3092712,1896850,979125,248996,77308,652820,216738
"Total Europe",12010726,6586594,4829385,2325018,208381,2295986,594747
"Total Latin America",678471,145815,477027,422519,19442,35065,55629
"Canada",2055018,1458399,566714,247866,106278,212570,29906
"Australia/Oceania",629152,520449,94030,49239,7228,37563,14672
"Country Unknown",96527,1284,95119,"*","*",94887,"*"
"Int. and reg. org.",128192,17291,90401,62510,10837,17054,20500
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
