"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2023"
"Millions of dollars, parts may not sum to total as some bonds have unknown maturities."
""
""
"","June","June","June","June","June","June","June"
"",2017,2018,2019,2020,2021,2022,2023
"Millions of dollars, parts may not sum to tot","al as some bonds","have unknown matu","rities."
""
""
"","June","June","June","June","June","June","June"
"",2017,2018,2019,2020,2021,2022,2023
""
"Corporate",3843861,3790465,3943234,4330730,4580814,3915974,4058910
"1 year or less",266666,223017,258170,248765,242911,223602,238536
"1 to 2 years",279834,299644,321056,306924,305299,276687,343377
"2 to 3 years",354445,352206,361711,359048,304725,350957,394176
"3 to 4 years",345338,358610,368947,315574,402019,362323,373124
"4 to 5 years",379506,377830,321827,416408,418798,359785,375641
"5 to 6 years",304310,260357,288271,307551,354779,278959,299815
"6 to 7 years",236231,268032,264522,317763,297261,257202,290941
"7 to 8 years",215542,221679,255258,216543,272822,250281,186557
"8 to 9 years",177998,203080,153762,176686,257211,165535,146561
"9 to 10 years",203113,141547,150746,246833,199079,139453,141368
"10 to 15 years",170468,179574,204841,268625,297008,292822,330969
"15 to 20 years",270935,297287,308706,344899,334726,238280,226879
"20 to 25 years",195794,173040,198170,232898,251344,213754,222514
"25 to 30 years",314348,308326,359350,415116,461900,340557,319061
"30+ years",104716,104663,108478,140484,160040,145606,154165
""
"Corporate FOI",170866,155856,168598,200050,170932,153109,167519
"1 year or less",17940,16183,18837,15567,8652,7774,10202
"1 to 2 years",16064,15693,17539,15486,11761,13533,17371
"2 to 3 years",19369,17286,19260,17703,16090,19594,19427
"3 to 4 years",15627,15144,16206,16120,17095,15668,17596
"4 to 5 years",18215,16467,16067,21490,16172,16872,17902
"5 to 6 years",13572,11109,12969,14666,14849,13114,12633
"6 to 7 years",11807,11708,11479,14317,12188,9719,13978
"7 to 8 years",10010,8771,10597,9358,9493,12044,9699
"8 to 9 years",9307,8754,7479,8883,12550,8195,7279
"9 to 10 years",11857,8744,8529,17133,10856,7896,9261
"10 to 15 years",5731,5532,7057,9856,9719,9610,13267
"15 to 20 years",7236,7688,8015,11247,10059,9019,10511
"20 to 25 years",7079,5674,5217,6769,6654,4805,5531
"25 to 30 years",14626,12674,14684,22358,17224,13202,13704
"30+ years",4875,4781,7072,9254,7974,6436,5670
""
"Corporate Private",3672995,3634608,3774637,4130679,4409882,3762865,3891391
"1 year or less",248726,206833,239334,233198,234259,215828,228335
"1 to 2 years",263769,283950,303517,291439,293538,263154,326006
"2 to 3 years",335076,334920,342450,341344,288634,331363,374749
"3 to 4 years",329710,343466,352741,299453,384924,346655,355528
"4 to 5 years",361291,361362,305760,394918,402625,342913,357739
"5 to 6 years",290738,249248,275301,292885,339930,265846,287182
"6 to 7 years",224424,256324,253043,303446,285073,247482,276963
"7 to 8 years",205532,212907,244662,207185,263330,238237,176858
"8 to 9 years",168691,194326,146283,167803,244662,157341,139282
"9 to 10 years",191256,132803,142217,229700,188223,131557,132107
"10 to 15 years",164737,174041,197784,258769,287289,283212,317702
"15 to 20 years",263699,289599,300691,333652,324666,229261,216368
"20 to 25 years",188715,167366,192953,226129,244690,208949,216983
"25 to 30 years",299722,295652,344665,392758,444677,327355,305356
"30+ years",99840,99882,101405,131230,152067,139170,148496
""
""
""
