quarter,usd_share_pct_allocated,allocated_total_usd_bn,source
2022-Q3,60.4334,11514.021,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2022-Q4,58.9518,11884.46,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2023-Q1,60.1231,12000.942,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2023-Q2,59.8181,12028.372,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2023-Q3,59.6898,11819.888,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2023-Q4,58.9796,12315.031,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2024-Q1,59.5114,12349.67,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2024-Q2,58.864,12314.931,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2024-Q3,57.8442,12726.945,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2024-Q4,58.4082,12330.174,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2025-Q1,58.3839,12500.391,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2025-Q2,56.9427,12941.047,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2025-Q3,56.6023,13033.959,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2025-Q4,56.4173,13146.663,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2026-Q1,57.1308,13104.898,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
