"Table A2.  Value of foreign holdings of U.S. long-term securities, by country and type of"
"security, as of June 30, 2015"
"Millions of dollars"
"","Total","","","Agen","cy","Corpo","rate"
"Countries and Regions","LT","Equities","Treasury","NonABS","ABS","NonABS","ABS"
"Zambia",244,7,232,5,0,"*",0
"Zimbabwe",6,3,0,0,1,2,0
"International and regional organizations",88915,4602,61083,3220,4054,4782,11175
"Country Unknown",98526,510,"*",5,3,97962,46
""
"Total",16202372,6655332,5449911,138057,742062,2804794,412216
""
"of which: Holdings of foreign official"
"institutions",5391176,961484,3806035,76905,379474,146453,20824
""
"Totals by Region:"
"Total Africa",50383,20678,24852,289,1806,2421,337
"Total Asia",5746160,1393377,3311813,66173,592525,345612,36660
"Total Caribbean",1918606,1140764,201677,13857,43559,385607,133142
"Total Europe",6499522,3010887,1373698,34454,90425,1796827,193231
"Total Latin America",579390,133316,400217,17847,5550,20096,2363
"Canada",967833,761017,47727,1767,2351,123255,31717
"Australia/Oceania",253037,190183,28845,445,1789,28232,3544
"Country Unknown",98526,510,"*",5,3,97962,46
"International and regional organizations",88915,4602,61083,3220,4054,4782,11175
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
