issuer_lei,ultimate_parent_lei,parent_country_iso,relationship_type,source
213800ZBDSVKWOW3O877,213800ZBDSVKWOW3O877,KY,SELF,GLEIF-RR+API
213800ZDFRNC8QXEZ481,213800ZDFRNC8QXEZ481,US,SELF,GLEIF-RR+API
2221002OQ5WL5CL13X65,2221002OQ5WL5CL13X65,KY,SELF,GLEIF-RR+API
2221005EX2X7ALDBEA02,2221005EX2X7ALDBEA02,VG,SELF,GLEIF-RR+API
222100BC34RLK5I1BK26,222100BC34RLK5I1BK26,KY,SELF,GLEIF-RR+API
222100HJXNHJQN2JLG72,222100HJXNHJQN2JLG72,VG,SELF,GLEIF-RR+API
222100LMP89TY1U4MJ41,222100LMP89TY1U4MJ41,KY,SELF,GLEIF-RR+API
222100QYJA4A1WYR6697,222100QYJA4A1WYR6697,VG,SELF,GLEIF-RR+API
222100R8R68DM7VM3661,222100R8R68DM7VM3661,KY,SELF,GLEIF-RR+API
222100S2BC4NRWJQKR30,222100S2BC4NRWJQKR30,KY,SELF,GLEIF-RR+API
222100V5GTJGKUH55655,222100V5GTJGKUH55655,KY,SELF,GLEIF-RR+API
222100WJDEUAP4JLW867,529900LUMD393RD3S874,HK,ULTIMATE,GLEIF-RR+API
222100XL8T2Q5B8MS302,254900AL64IANZYI1E02,KY,ULTIMATE,GLEIF-RR+API
25490002BUTSMP94GO68,25490002BUTSMP94GO68,HK,SELF,GLEIF-RR+API
25490002NPB1AZIR3342,25490002NPB1AZIR3342,KY,SELF,GLEIF-RR+API
2549000551VJRWC86112,2549000551VJRWC86112,KY,SELF,GLEIF-RR+API
25490009B9YU69JJMX65,25490009B9YU69JJMX65,VG,SELF,GLEIF-RR+API
2549000G72BYQPXZVH78,2549000G72BYQPXZVH78,KY,SELF,GLEIF-RR+API
2549000HOL90CNMWDO78,2549000HOL90CNMWDO78,KY,SELF,GLEIF-RR+API
2549000I5N6JRKAGRP48,2549000I5N6JRKAGRP48,KY,SELF,GLEIF-RR+API
2549000IZRZZJ8TS9W23,2549000IZRZZJ8TS9W23,KY,SELF,GLEIF-RR+API
2549000K50PPEQEXN586,2549000K50PPEQEXN586,KY,SELF,GLEIF-RR+API
2549000KTINB9ZPZP710,2549000KTINB9ZPZP710,KY,SELF,GLEIF-RR+API
2549000KVE2J1UOHZ207,2549000KVE2J1UOHZ207,KY,SELF,GLEIF-RR+API
2549000M7NBNQ7XU2038,2549000M7NBNQ7XU2038,KY,SELF,GLEIF-RR+API
2549000NTC85I8X21O47,2549000NTC85I8X21O47,KY,SELF,GLEIF-RR+API
2549000NTXDB3VOXDV92,2549000NTXDB3VOXDV92,KY,SELF,GLEIF-RR+API
2549000O9PF76XE61Z89,2549000O9PF76XE61Z89,KY,SELF,GLEIF-RR+API
2549000QHNWAFTFHZZ23,254900MTXR9LUVQFU480,BR,ULTIMATE,GLEIF-RR+API
2549000TWLB57V29ZR37,2549000TWLB57V29ZR37,KY,SELF,GLEIF-RR+API
2549000UC1DPF536BS12,2549000UC1DPF536BS12,BM,SELF,GLEIF-RR+API
2549000YKZX6JKWL1X31,2549000YKZX6JKWL1X31,VG,SELF,GLEIF-RR+API
2549000ZHWNMHC09DR77,2549000ZHWNMHC09DR77,KY,SELF,GLEIF-RR+API
254900102FXSL1683637,254900102FXSL1683637,KY,SELF,GLEIF-RR+API
25490010UJKLIJ8C4V48,5299005U11RQ1C27MR12,BM,ULTIMATE,GLEIF-RR+API
25490014E64X3SIYL889,25490014E64X3SIYL889,KY,SELF,GLEIF-RR+API
25490016C8NV86EY2059,25490016C8NV86EY2059,KY,SELF,GLEIF-RR+API
2549001742TZTUKJHB13,2549001742TZTUKJHB13,KY,SELF,GLEIF-RR+API
254900174PJNJZL9CU22,254900174PJNJZL9CU22,HK,SELF,GLEIF-RR+API
25490017VKY7XEFZL303,25490017VKY7XEFZL303,KY,SELF,GLEIF-RR+API
25490017YHIJPOXAXI93,25490017YHIJPOXAXI93,KY,SELF,GLEIF-RR+API
25490018GYL1YL6YBG43,25490018GYL1YL6YBG43,KY,SELF,GLEIF-RR+API
25490018I1ROE4V49X69,25490018I1ROE4V49X69,KY,SELF,GLEIF-RR+API
